City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
2,Road Town,VG,80.69,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
5,Pisco,PE,75.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
10,Butaritari,KI,82.53,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
11,Vao,NC,78.89,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
13,Avarua,CK,73.45,few clouds,-21.2078,-159.775,Paradise Inn
14,Atuona,PF,77.38,light rain,-9.8,-139.0333,Villa Enata
17,Springbok,ZA,84.34,scattered clouds,-29.6643,17.8865,Undulata Country Lodge
19,Rikitea,PF,78.55,clear sky,-23.1203,-134.9692,People ThankYou
20,Otacilio Costa,BR,87.8,scattered clouds,-27.4831,-50.1219,Hotel Daieli
26,Lorengau,PG,80.76,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
27,Saint-Philippe,RE,80.19,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
30,Namatanai,PG,78.94,light rain,-3.6667,152.4333,Seagulls Inn Namatani
31,Sola,VU,81.88,overcast clouds,-13.8833,167.55,Leumerus Bungalows
35,Kavieng,PG,80.89,light rain,-2.5744,150.7967,Nusa Island Retreat
37,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
39,Kapaa,US,70.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
40,Port Alfred,ZA,75.87,overcast clouds,-33.5906,26.891,The Halyards Hotel
44,Muli,MV,82.17,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
46,Hambantota,LK,74.89,overcast clouds,6.1241,81.1185,Bungalow 63
48,Goya,AR,87.13,clear sky,-29.14,-59.2626,Apart Costanera Goya
49,Upata,VE,83.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
51,Bredasdorp,ZA,74.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
54,Lompoc,US,70.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
55,Salalah,OM,75.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
57,Cap Malheureux,MU,81.46,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
58,The Valley,AI,81.82,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
61,Candabong,PH,77.61,overcast clouds,9.7343,124.5383,Anda White Beach Resort
62,Cape Town,ZA,75.11,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
64,Phan Thiet,VN,75.81,broken clouds,10.9333,108.1,Hotel Saigon-PT
66,Boa Vista,BR,89.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
67,Ixtapa,MX,74.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
68,East London,ZA,74.34,clear sky,-33.0153,27.9116,Tu Casa
73,Pringsewu,ID,74.23,overcast clouds,-5.3582,104.9744,Urban Style by Front One
74,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
76,Port Elizabeth,ZA,71.89,overcast clouds,-33.918,25.5701,39 On Nile Guest House
77,Chuy,UY,73.4,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
78,Hermanus,ZA,77.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
84,Paracuru,BR,87.82,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
86,Arraial Do Cabo,BR,82.36,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
90,Weligama,LK,73.76,overcast clouds,5.9667,80.4167,Weligama Bay Resort
92,Praia,CV,81.14,clear sky,14.9215,-23.5087,LT Aparthotel
94,Isangel,VU,78.42,overcast clouds,-19.55,169.2667,Tanna Lodge
95,Bowen,AU,73.62,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
97,Georgetown,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
100,Geraldton,AU,75.61,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
104,Castro,BR,80.26,few clouds,-24.7911,-50.0119,CHACARA BAILLY
105,Cidreira,BR,76.87,overcast clouds,-30.1811,-50.2056,Hotel Castelo
107,Kununurra,AU,80.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
110,Garowe,SO,75.83,scattered clouds,8.4054,48.4845,Curubo Hotel
112,Porto Walter,BR,82.44,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
113,Hithadhoo,MV,82.29,overcast clouds,-0.6,73.0833,Scoop Guest House
116,Fayaoue,NC,81.82,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
120,Kiunga,PG,73.38,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
122,Mahibadhoo,MV,82.17,overcast clouds,3.7833,72.9667,Omadhoo Inn
123,Douala,CM,85.91,scattered clouds,4.0483,9.7043,Hôtel Prince De Galles Douala
126,Mahebourg,MU,81.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
128,Kroya,ID,78.19,moderate rain,-7.6331,109.2461,RUSTANTO Fam
130,Mount Isa,AU,73.17,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
131,Puerto Escondido,MX,85.03,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
132,Takoradi,GH,83.61,broken clouds,4.8845,-1.7554,Raybow International Hotel
133,Jacqueville,CI,82.31,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
135,Touros,BR,88.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
139,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
141,Olinda,BR,87.53,scattered clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
144,Itarema,BR,86.23,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
149,Alta Floresta,BR,78.17,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
150,Tefe,BR,87.91,scattered clouds,-3.3542,-64.7114,Aracati Hotel
153,Bo Rai,TH,83.86,broken clouds,12.5728,102.5371,Baiboon Resort
157,Kavaratti,IN,81.27,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
163,Sao Filipe,CV,76.95,scattered clouds,14.8961,-24.4956,Hotel Xaguate
165,Lucea,JM,80.85,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
166,Caravelas,BR,83.3,heavy intensity rain,-17.7125,-39.2481,Pousada dos Navegantes
173,Sao Joao Da Barra,BR,84.29,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
176,Soyo,AO,80.71,few clouds,-6.1349,12.3689,Hotel Mpampa
179,Bandarbeyla,SO,76.14,scattered clouds,9.4942,50.8122,JABIR HOTEL
183,Tamisan,PH,76.08,broken clouds,6.8437,126.2984,Pier One
188,Biak,ID,74.46,overcast clouds,-0.9131,122.8766,Penginapan Kim
190,Cabo San Lucas,MX,77.61,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
191,Wang Saphung,TH,81.09,broken clouds,17.301,101.7685,โรงแรมวังรีสอร์ท
192,Carnarvon,AU,80.67,few clouds,-24.8667,113.6333,Hospitality Carnarvon
195,Bengkulu,ID,77.5,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
198,Ambon,ID,76.71,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
200,Imbituba,BR,85.89,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
205,Dingle,PH,74.86,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
209,Roebourne,AU,85.48,few clouds,-20.7833,117.1333,Latitude20 Roebourne Village
214,Meulaboh,ID,76.95,broken clouds,4.1363,96.1285,Kost Pria
215,Mareeba,AU,70.52,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
218,Manokwari,ID,77.86,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
219,Umm Lajj,SA,70.97,clear sky,25.0213,37.2685,Moon light Furnished Units
224,Soubre,CI,84.38,overcast clouds,5.7856,-6.6083,Lynd Hotels Soubre
227,Saldanha,ZA,78.85,few clouds,-33.0117,17.9442,Blue Bay Lodge
228,Hobyo,SO,77.38,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
231,Maues,BR,83.16,overcast clouds,-3.3836,-57.7186,Hotel Miramar
233,San Quintin,MX,73.15,scattered clouds,30.4833,-115.95,Don Eddie's Landing
236,El Rosario,MX,75.15,overcast clouds,24.2556,-107.1828,Mi casa
238,Lamont,US,77.13,few clouds,35.2597,-118.9143,Buena Vista Mobile Home Park
242,Bumba,CD,84.13,overcast clouds,2.1833,22.4667,Père Carlos
249,Jawhar,SO,77.22,overcast clouds,2.7809,45.5005,hantiwadaag village part one
252,Caucaia,BR,87.75,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
255,Port Keats,AU,76.28,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
256,Rawson,AR,86.95,few clouds,-43.3002,-65.1023,Hosteria Sampedro
257,Nuevitas,CU,85.44,clear sky,21.5453,-77.2644,Hotel Caonaba
261,Nabire,ID,75.4,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
262,Balabac,PH,80.49,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
264,Gold Coast,AU,70.0,overcast clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
272,Cayenne,GF,84.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
277,Quatre Cocos,MU,81.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
281,Kruisfontein,ZA,70.18,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
288,Axim,GH,82.71,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
289,Cururupu,BR,82.9,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
