City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Yellowknife,CA,62.456,-114.3525,-21.59,75,100,4.61,overcast clouds
1,Bethel,US,41.3712,-73.414,32.05,82,100,9.22,light snow
2,Road Town,VG,18.4167,-64.6167,80.69,78,40,13.8,scattered clouds
3,Punta Arenas,CL,-53.15,-70.9167,50.11,57,20,57.53,light rain
4,Mataura,NZ,-46.1927,168.8643,43.48,99,31,2.51,scattered clouds
5,Pisco,PE,-13.7,-76.2167,75.25,60,0,6.91,clear sky
6,Provideniya,RU,64.3833,-173.3,-12.59,93,16,3.65,few clouds
7,Ushuaia,AR,-54.8,-68.3,47.86,71,75,47.18,heavy intensity drizzle
8,Yenagoa,NG,4.9247,6.2642,92.25,45,75,12.55,broken clouds
9,Busselton,AU,-33.65,115.3333,67.05,66,4,14.72,clear sky
10,Butaritari,KI,3.0707,172.7902,82.53,70,95,11.61,overcast clouds
11,Vao,NC,-22.6667,167.4833,78.89,85,100,5.68,overcast clouds
12,Clyde River,CA,70.4692,-68.5914,-23.57,69,0,11.5,clear sky
13,Avarua,CK,-21.2078,-159.775,73.45,100,20,2.3,few clouds
14,Atuona,PF,-9.8,-139.0333,77.38,78,33,12.62,light rain
15,Ketchikan,US,55.3422,-131.6461,39.18,100,100,0.0,light rain
16,Hilo,US,19.7297,-155.09,67.24,82,40,5.99,scattered clouds
17,Springbok,ZA,-29.6643,17.8865,84.34,31,46,16.6,scattered clouds
18,Saint George,US,37.1041,-113.5841,54.54,32,0,0.0,clear sky
19,Rikitea,PF,-23.1203,-134.9692,78.55,70,8,10.89,clear sky
20,Otacilio Costa,BR,-27.4831,-50.1219,87.8,33,27,2.33,scattered clouds
21,Flinders,AU,-34.5833,150.8552,66.38,79,82,5.01,broken clouds
22,La Ronge,CA,55.1001,-105.2842,3.45,78,100,9.22,overcast clouds
23,Poum,NC,-20.2333,164.0167,80.58,78,100,14.92,overcast clouds
24,Jamestown,US,42.097,-79.2353,21.29,49,100,5.75,overcast clouds
25,Cuenca,EC,-2.8833,-78.9833,66.33,68,75,5.75,broken clouds
26,Lorengau,PG,-2.0226,147.2712,80.76,79,99,3.2,overcast clouds
27,Saint-Philippe,RE,-21.3585,55.7679,80.19,86,53,8.75,broken clouds
28,Williams Lake,CA,52.1415,-122.1445,29.77,80,100,4.61,overcast clouds
29,Sistranda,NO,63.7256,8.834,37.36,83,100,19.35,light rain
30,Namatanai,PG,-3.6667,152.4333,78.94,82,100,4.0,light rain
31,Sola,VU,-13.8833,167.55,81.88,76,97,14.72,overcast clouds
32,New Norfolk,AU,-42.7826,147.0587,63.9,58,87,2.89,overcast clouds
33,Taoudenni,ML,22.6783,-3.9836,75.13,16,0,15.08,clear sky
34,Tasiilaq,GL,65.6145,-37.6368,12.36,72,100,5.14,overcast clouds
35,Kavieng,PG,-2.5744,150.7967,80.89,78,99,6.29,light rain
36,Stolin,BY,51.8912,26.846,32.22,68,88,9.24,overcast clouds
37,Vaini,TO,-21.2,-175.2,78.96,89,20,4.61,few clouds
38,Aykhal,RU,66.0,111.5,-8.23,57,3,1.52,clear sky
39,Kapaa,US,22.0752,-159.319,70.12,85,0,12.66,clear sky
40,Port Alfred,ZA,-33.5906,26.891,75.87,76,87,11.81,overcast clouds
41,Albany,US,42.6001,-73.9662,26.55,64,100,1.99,overcast clouds
42,Fort Nelson,CA,58.8053,-122.7002,-4.41,77,75,4.61,broken clouds
43,Urumqi,CN,43.801,87.6005,16.75,86,0,2.24,clear sky
44,Muli,MV,2.9167,73.5667,82.17,76,98,15.35,overcast clouds
45,Tuktoyaktuk,CA,69.4541,-133.0374,-34.6,74,20,3.44,few clouds
46,Hambantota,LK,6.1241,81.1185,74.89,88,100,17.85,overcast clouds
47,Dikson,RU,73.5069,80.5464,-3.66,87,100,27.13,overcast clouds
48,Goya,AR,-29.14,-59.2626,87.13,19,0,4.81,clear sky
49,Upata,VE,8.0086,-62.3989,83.19,42,99,4.7,overcast clouds
50,Okhotsk,RU,59.3833,143.3,-14.12,81,1,10.07,clear sky
51,Bredasdorp,ZA,-34.5322,20.0403,74.28,68,7,12.66,clear sky
52,Kibondo,TZ,-3.5864,30.7203,63.45,88,85,2.39,light rain
53,Ribeira Grande,PT,38.5167,-28.7,63.0,59,75,4.61,broken clouds
54,Lompoc,US,34.6391,-120.4579,70.57,44,0,10.36,clear sky
55,Salalah,OM,17.0151,54.0924,75.29,69,20,3.44,few clouds
56,Husavik,IS,66.0449,-17.3389,3.11,79,14,14.85,few clouds
57,Cap Malheureux,MU,-19.9842,57.6142,81.46,76,100,5.99,overcast clouds
58,The Valley,AI,18.217,-63.0578,81.82,83,75,14.97,broken clouds
59,Qaanaaq,GL,77.484,-69.3632,-4.36,95,100,3.22,overcast clouds
60,Chokurdakh,RU,70.6333,147.9167,-2.4,97,100,10.96,overcast clouds
61,Candabong,PH,9.7343,124.5383,77.61,88,100,12.5,overcast clouds
62,Cape Town,ZA,-33.9258,18.4232,75.11,66,20,28.77,few clouds
63,Tabas,IR,33.5959,56.9244,53.1,40,0,8.25,clear sky
64,Phan Thiet,VN,10.9333,108.1,75.81,84,68,7.14,broken clouds
