City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mar Del Plata,AR,2022-02-12 15:07:29,-38.0023,-57.5575,64.42,63,20,23.02
1,Mount Isa,AU,2022-02-12 15:09:50,-20.7333,139.5,74.97,78,40,10.36
2,Nikolskoye,RU,2022-02-12 15:09:51,59.7035,30.7861,34.88,87,100,11.9
3,Vaini,TO,2022-02-12 15:09:51,-21.2,-175.2,78.96,94,20,4.61
4,Santa Maria,BR,2022-02-12 15:09:52,-29.6842,-53.8069,95.81,27,82,7.85
5,Aguililla,MX,2022-02-12 15:09:52,18.7333,-102.7333,68.07,36,42,3.11
6,Palana,RU,2022-02-12 15:09:53,59.1167,159.9667,-11.67,96,38,4.18
7,Litovko,RU,2022-02-12 15:09:53,49.2361,135.1742,13.28,97,100,1.48
8,Fukue,JP,2022-02-12 15:09:53,32.6881,128.8419,50.25,85,100,9.4
9,Bluff,NZ,2022-02-12 15:09:54,-46.6,168.3333,51.8,65,81,15.1
10,Albany,US,2022-02-12 15:07:38,42.6001,-73.9662,48.4,63,100,7.0
11,Haines Junction,CA,2022-02-12 15:09:58,60.7522,-137.5108,21.65,96,97,5.64
12,Chara,RU,2022-02-12 15:10:00,56.9064,118.2631,-18.8,96,100,0.72
13,Puerto Ayora,EC,2022-02-12 15:10:01,-0.7393,-90.3518,78.76,89,100,1.01
14,Arraial Do Cabo,BR,2022-02-12 15:10:02,-22.9661,-42.0278,80.46,74,75,5.75
15,Doka,SD,2022-02-12 15:10:04,13.5167,35.7667,91.99,23,2,14.27
16,Mahibadhoo,MV,2022-02-12 15:10:05,3.7833,72.9667,81.55,73,81,6.62
17,New Norfolk,AU,2022-02-12 15:10:05,-42.7826,147.0587,56.7,55,90,2.62
18,Hobart,AU,2022-02-12 15:10:06,-42.8794,147.3294,57.06,71,90,9.22
19,San Patricio,US,2022-02-12 15:10:06,28.017,-97.5169,62.91,82,0,12.17
20,Tadine,NC,2022-02-12 15:10:06,-21.55,167.8833,79.54,84,100,6.62
21,Adrar,MR,2022-02-12 15:10:07,20.5022,-10.0711,78.76,15,28,14.67
22,Atuona,PF,2022-02-12 15:10:08,-9.8,-139.0333,76.89,79,10,12.88
23,Kapaa,US,2022-02-12 15:10:08,22.0752,-159.319,67.98,97,40,3.44
24,Cap Malheureux,MU,2022-02-12 15:10:08,-19.9842,57.6142,80.47,71,67,1.99
25,Georgetown,MY,2022-02-12 15:09:30,5.4112,100.3354,83.89,74,20,1.99
26,Mataura,NZ,2022-02-12 15:10:09,-46.1927,168.8643,51.48,90,100,3.27
27,Muros,ES,2022-02-12 15:00:48,42.7762,-9.0603,57.09,80,35,5.77
28,Narsaq,GL,2022-02-12 15:10:09,60.9167,-46.05,32.22,97,100,4.97
29,Longyearbyen,SJ,2022-02-12 15:10:10,78.2186,15.6401,13.84,73,0,11.5
30,Leningradskiy,RU,2022-02-12 15:10:10,69.3833,178.4167,-21.82,98,97,3.91
31,Umarkot,PK,2022-02-12 15:10:10,25.3616,69.7362,74.12,16,0,9.01
32,Takhtamygda,RU,2022-02-12 15:10:11,54.1,123.5667,-17.21,96,40,3.47
33,Constantine,DZ,2022-02-12 15:06:05,36.365,6.6147,56.61,50,75,4.61
34,Tema,GH,2022-02-12 15:10:13,5.667,-0.0166,87.91,58,86,14.38
35,Araouane,ML,2022-02-12 15:10:13,18.9048,-3.5265,78.64,9,2,13.15
36,Chuy,UY,2022-02-12 15:10:13,-33.6971,-53.4616,75.52,76,100,4.34
37,Westport,US,2022-02-12 15:10:14,41.1415,-73.3579,56.75,63,100,8.99
38,Punta Arenas,CL,2022-02-12 15:10:14,-53.15,-70.9167,57.31,47,40,36.82
39,Port Blair,IN,2022-02-12 15:00:49,11.6667,92.75,78.82,65,6,16.26
40,Cape Town,ZA,2022-02-12 15:10:10,-33.9258,18.4232,77.11,64,89,3.0
41,Kuching,MY,2022-02-12 15:10:15,1.55,110.3333,77.22,94,40,0.0
42,Port Elizabeth,ZA,2022-02-12 15:10:15,-33.918,25.5701,78.1,79,4,15.64
